RBR TR-1060  6.20 013740 (Windows: 6.13 - Minimum required: 6.04)
Host time     23/04/19 14:43:37
Logger time   23/04/19 14:43:38
Logging start 23/04/12 21:00:00
Logging end   23/05/12 21:00:00
Sample period          00:00:10
Number of channels =  1, number of samples =  58222, mode: Logging Stopped by User
E01%9.4f
Calibration  1: 0.003513334136577
                -0.000255426718749
                0.000002600932220
                -0.000000081652988 Degrees_C
Memory type: 4 AT45DB642D

                         Temp 
2023/04/12 21:00:00   17.9358 
2023/04/12 21:00:10   17.9327 
2023/04/12 21:00:20   17.9294 
2023/04/12 21:00:30   17.9263 
2023/04/12 21:00:40   17.9232 
2023/04/12 21:00:50   17.9201 
2023/04/12 21:01:00   17.9171 
2023/04/12 21:01:10   17.9137 
2023/04/12 21:01:20   17.9106 
2023/04/12 21:01:30   17.9073 
2023/04/12 21:01:40   17.9040 
2023/04/12 21:01:50   17.9006 
2023/04/12 21:02:00   17.8971 
2023/04/12 21:02:10   17.8939 
2023/04/12 21:02:20   17.8907 
2023/04/12 21:02:30   17.8875 
2023/04/12 21:02:40   17.8844 
2023/04/12 21:02:50   17.8814 
2023/04/12 21:03:00   17.8782 
2023/04/12 21:03:10   17.8750 
2023/04/12 21:03:20   17.8719 
2023/04/12 21:03:30   17.8687 
2023/04/12 21:03:40   17.8657 
2023/04/12 21:03:50   17.8625 
2023/04/12 21:04:00   17.8592 
2023/04/12 21:04:10   17.8560 
2023/04/12 21:04:20   17.8525 
2023/04/12 21:04:30   17.8494 
2023/04/12 21:04:40   17.8461 
2023/04/12 21:04:50   17.8427 
2023/04/12 21:05:00   17.8395 
2023/04/12 21:05:10   17.8362 
2023/04/12 21:05:20   17.8329 
2023/04/12 21:05:30   17.8296 
2023/04/12 21:05:40   17.8265 
2023/04/12 21:05:50   17.8234 
2023/04/12 21:06:00   17.8201 
2023/04/12 21:06:10   17.8168 
2023/04/12 21:06:20   17.8134 
2023/04/12 21:06:30   17.8100 
2023/04/12 21:06:40   17.8070 
2023/04/12 21:06:50   17.8040 
2023/04/12 21:07:00   17.8008 
2023/04/12 21:07:10   17.7975 
2023/04/12 21:07:20   17.7942 
2023/04/12 21:07:30   17.7909 
2023/04/12 21:07:40   17.7877 
2023/04/12 21:07:50   17.7845 
2023/04/12 21:08:00   17.7814 
2023/04/12 21:08:10   17.7784 
2023/04/12 21:08:20   17.7753 
2023/04/12 21:08:30   17.7723 
2023/04/12 21:08:40   17.7692 
2023/04/12 21:08:50   17.7661 
2023/04/12 21:09:00   17.7630 
2023/04/12 21:09:10   17.7598 
2023/04/12 21:09:20   17.7567 
2023/04/12 21:09:30   17.7537 
2023/04/12 21:09:40   17.7507 
2023/04/12 21:09:50   17.7474 
2023/04/12 21:10:00   17.7441 
2023/04/12 21:10:10   17.7409 
2023/04/12 21:10:20   17.7377 
2023/04/12 21:10:30   17.7347 
2023/04/12 21:10:40   17.7318 
2023/04/12 21:10:50   17.7291 
2023/04/12 21:11:00   17.7263 
2023/04/12 21:11:10   17.7236 
2023/04/12 21:11:20   17.7208 
2023/04/12 21:11:30   17.7182 
2023/04/12 21:11:40   17.7152 
2023/04/12 21:11:50   17.7120 
2023/04/12 21:12:00   17.7090 
2023/04/12 21:12:10   17.7061 
2023/04/12 21:12:20   17.7031 
2023/04/12 21:12:30   17.7000 
2023/04/12 21:12:40   17.6970 
2023/04/12 21:12:50   17.6942 
2023/04/12 21:13:00   17.6912 
2023/04/12 21:13:10   17.6884 
2023/04/12 21:13:20   17.6856 
2023/04/12 21:13:30   17.6829 
2023/04/12 21:13:40   17.6801 
2023/04/12 21:13:50   17.6774 
2023/04/12 21:14:00   17.6748 
2023/04/12 21:14:10   17.6721 
2023/04/12 21:14:20   17.6696 
2023/04/12 21:14:30   17.6670 
2023/04/12 21:14:40   17.6643 
2023/04/12 21:14:50   17.6615 
2023/04/12 21:15:00   17.6587 
2023/04/12 21:15:10   17.6559 
2023/04/12 21:15:20   17.6532 
2023/04/12 21:15:30   17.6506 
2023/04/12 21:15:40   17.6482 
2023/04/12 21:15:50   17.6456 
2023/04/12 21:16:00   17.6432 
2023/04/12 21:16:10   17.6406 
2023/04/12 21:16:20   17.6383 
2023/04/12 21:16:30   17.6356 
2023/04/12 21:16:40   17.6330 
2023/04/12 21:16:50   17.6307 
2023/04/12 21:17:00   17.6279 
2023/04/12 21:17:10   17.6251 
2023/04/12 21:17:20   17.6224 
2023/04/12 21:17:30   17.6196 
2023/04/12 21:17:40   17.6166 
2023/04/12 21:17:50   17.6139 
2023/04/12 21:18:00   17.6111 
2023/04/12 21:18:10   17.6084 
2023/04/12 21:18:20   17.6056 
2023/04/12 21:18:30   17.6026 
2023/04/12 21:18:40   17.5995 
2023/04/12 21:18:50   17.5968 
2023/04/12 21:19:00   17.5940 
2023/04/12 21:19:10   17.5910 
2023/04/12 21:19:20   17.5883 
2023/04/12 21:19:30   17.5852 
2023/04/12 21:19:40   17.5824 
2023/04/12 21:19:50   17.5796 
2023/04/12 21:20:00   17.5767 
2023/04/12 21:20:10   17.5739 
2023/04/12 21:20:20   17.5713 
2023/04/12 21:20:30   17.5687 
2023/04/12 21:20:40   17.5659 
2023/04/12 21:20:50   17.5632 
2023/04/12 21:21:00   17.5606 
2023/04/12 21:21:10   17.5582 
2023/04/12 21:21:20   17.5555 
2023/04/12 21:21:30   17.5527 
2023/04/12 21:21:40   17.5500 
2023/04/12 21:21:50   17.5474 
2023/04/12 21:22:00   17.5447 
2023/04/12 21:22:10   17.5420 
2023/04/12 21:22:20   17.5391 
2023/04/12 21:22:30   17.5362 
2023/04/12 21:22:40   17.5337 
2023/04/12 21:22:50   17.5309 
2023/04/12 21:23:00   17.5284 
2023/04/12 21:23:10   17.5257 
2023/04/12 21:23:20   17.5230 
2023/04/12 21:23:30   17.5205 
2023/04/12 21:23:40   17.5179 
2023/04/12 21:23:50   17.5153 
2023/04/12 21:24:00   17.5126 
2023/04/12 21:24:10   17.5100 
2023/04/12 21:24:20   17.5074 
2023/04/12 21:24:30   17.5049 
2023/04/12 21:24:40   17.5022 
2023/04/12 21:24:50   17.4993 
2023/04/12 21:25:00   17.4966 
2023/04/12 21:25:10   17.4937 
2023/04/12 21:25:20   17.4909 
2023/04/12 21:25:30   17.4880 
2023/04/12 21:25:40   17.4851 
2023/04/12 21:25:50   17.4824 
2023/04/12 21:26:00   17.4797 
2023/04/12 21:26:10   17.4771 
2023/04/12 21:26:20   17.4746 
2023/04/12 21:26:30   17.4722 
2023/04/12 21:26:40   17.4699 
2023/04/12 21:26:50   17.4677 
2023/04/12 21:27:00   17.4655 
2023/04/12 21:27:10   17.4635 
2023/04/12 21:27:20   17.4614 
2023/04/12 21:27:30   17.4591 
2023/04/12 21:27:40   17.4568 
2023/04/12 21:27:50   17.4544 
2023/04/12 21:28:00   17.4520 
2023/04/12 21:28:10   17.4495 
2023/04/12 21:28:20   17.4471 
2023/04/12 21:28:30   17.4448 
2023/04/12 21:28:40   17.4423 
2023/04/12 21:28:50   17.4401 
2023/04/12 21:29:00   17.4376 
2023/04/12 21:29:10   17.4352 
2023/04/12 21:29:20   17.4329 
2023/04/12 21:29:30   17.4304 
2023/04/12 21:29:40   17.4278 
2023/04/12 21:29:50   17.4253 
2023/04/12 21:30:00   17.4227 
2023/04/12 21:30:10   17.4203 
2023/04/12 21:30:20   17.4180 
2023/04/12 21:30:30   17.4154 
2023/04/12 21:30:40   17.4128 
2023/04/12 21:30:50   17.4104 
2023/04/12 21:31:00   17.4078 
2023/04/12 21:31:10   17.4055 
2023/04/12 21:31:20   17.4030 
2023/04/12 21:31:30   17.4007 
2023/04/12 21:31:40   17.3985 
2023/04/12 21:31:50   17.3964 
2023/04/12 21:32:00   17.3941 
2023/04/12 21:32:10   17.3919 
2023/04/12 21:32:20   17.3897 
2023/04/12 21:32:30   17.3876 
2023/04/12 21:32:40   17.3854 
2023/04/12 21:32:50   17.3834 
2023/04/12 21:33:00   17.3812 
2023/04/12 21:33:10   17.3788 
2023/04/12 21:33:20   17.3764 
2023/04/12 21:33:30   17.3741 
2023/04/12 21:33:40   17.3716 
2023/04/12 21:33:50   17.3692 
2023/04/12 21:34:00   17.3669 
2023/04/12 21:34:10   17.3644 
2023/04/12 21:34:20   17.3620 
2023/04/12 21:34:30   17.3597 
2023/04/12 21:34:40   17.3573 
2023/04/12 21:34:50   17.3549 
2023/04/12 21:35:00   17.3526 
2023/04/12 21:35:10   17.3504 
2023/04/12 21:35:20   17.3480 
2023/04/12 21:35:30   17.3455 
2023/04/12 21:35:40   17.3432 
2023/04/12 21:35:50   17.3408 
2023/04/12 21:36:00   17.3385 
2023/04/12 21:36:10   17.3361 
2023/04/12 21:36:20   17.3337 
2023/04/12 21:36:30   17.3314 
2023/04/12 21:36:40   17.3292 
2023/04/12 21:36:50   17.3269 
2023/04/12 21:37:00   17.3247 
2023/04/12 21:37:10   17.3225 
2023/04/12 21:37:20   17.3205 
2023/04/12 21:37:30   17.3183 
2023/04/12 21:37:40   17.3161 
2023/04/12 21:37:50   17.3138 
2023/04/12 21:38:00   17.3112 
2023/04/12 21:38:10   17.3089 
2023/04/12 21:38:20   17.3066 
2023/04/12 21:38:30   17.3041 
2023/04/12 21:38:40   17.3017 
2023/04/12 21:38:50   17.2994 
2023/04/12 21:39:00   17.2969 
2023/04/12 21:39:10   17.2942 
2023/04/12 21:39:20   17.2918 
2023/04/12 21:39:30   17.2895 
2023/04/12 21:39:40   17.2873 
2023/04/12 21:39:50   17.2852 
2023/04/12 21:40:00   17.2827 
2023/04/12 21:40:10   17.2803 
2023/04/12 21:40:20   17.2779 
2023/04/12 21:40:30   17.2754 
2023/04/12 21:40:40   17.2727 
2023/04/12 21:40:50   17.2702 
2023/04/12 21:41:00   17.2679 
2023/04/12 21:41:10   17.2655 
2023/04/12 21:41:20   17.2631 
2023/04/12 21:41:30   17.2609 
2023/04/12 21:41:40   17.2585 
2023/04/12 21:41:50   17.2563 
2023/04/12 21:42:00   17.2543 
2023/04/12 21:42:10   17.2522 
2023/04/12 21:42:20   17.2502 
2023/04/12 21:42:30   17.2482 
2023/04/12 21:42:40   17.2463 
2023/04/12 21:42:50   17.2444 
2023/04/12 21:43:00   17.2427 
2023/04/12 21:43:10   17.2408 
2023/04/12 21:43:20   17.2391 
2023/04/12 21:43:30   17.2374 
2023/04/12 21:43:40   17.2357 
2023/04/12 21:43:50   17.2340 
2023/04/12 21:44:00   17.2323 
2023/04/12 21:44:10   17.2306 
2023/04/12 21:44:20   17.2288 
2023/04/12 21:44:30   17.2269 
2023/04/12 21:44:40   17.2251 
2023/04/12 21:44:50   17.2231 
2023/04/12 21:45:00   17.2211 
2023/04/12 21:45:10   17.2192 
2023/04/12 21:45:20   17.2172 
2023/04/12 21:45:30   17.2153 
2023/04/12 21:45:40   17.2132 
2023/04/12 21:45:50   17.2112 
2023/04/12 21:46:00   17.2090 
2023/04/12 21:46:10   17.2069 
2023/04/12 21:46:20   17.2048 
2023/04/12 21:46:30   17.2028 
2023/04/12 21:46:40   17.2007 
2023/04/12 21:46:50   17.1988 
2023/04/12 21:47:00   17.1969 
2023/04/12 21:47:10   17.1948 
2023/04/12 21:47:20   17.1928 
2023/04/12 21:47:30   17.1907 
2023/04/12 21:47:40   17.1887 
2023/04/12 21:47:50   17.1868 
2023/04/12 21:48:00   17.1849 
2023/04/12 21:48:10   17.1829 
2023/04/12 21:48:20   17.1808 
2023/04/12 21:48:30   17.1787 
2023/04/12 21:48:40   17.1768 
2023/04/12 21:48:50   17.1751 
2023/04/12 21:49:00   17.1733 
2023/04/12 21:49:10   17.1712 
2023/04/12 21:49:20   17.1691 
2023/04/12 21:49:30   17.1673 
2023/04/12 21:49:40   17.1652 
2023/04/12 21:49:50   17.1631 
2023/04/12 21:50:00   17.1613 
2023/04/12 21:50:10   17.1591 
2023/04/12 21:50:20   17.1570 
2023/04/12 21:50:30   17.1549 
2023/04/12 21:50:40   17.1529 
2023/04/12 21:50:50   17.1509 
2023/04/12 21:51:00   17.1489 
2023/04/12 21:51:10   17.1467 
2023/04/12 21:51:20   17.1443 
