RBR data file;Version 0.1;;;;
Model:;RBRduet;Serial Number:;81006;Firmware version:;1.02
Logging start time:;2023/4/12;Logging end time:;2099/12/31;Logging sampling period (s):;10
;;;;;
;;;;;
Timestamp;Temperature;Pressure;Sea pressure;Depth;
13/04/2023 12:27:30.000;2,917147733;16,48121611;6,348715106;6,309702945;
13/04/2023 12:27:40.000;2,923177913;16,48145024;6,348949236;6,309935637;
13/04/2023 12:27:50.000;2,926149849;16,48119633;6,348695332;6,309683293;
13/04/2023 12:28:00.000;2,925420795;16,48109904;6,348598041;6,309586599;
13/04/2023 12:28:10.000;2,922798188;16,48088025;6,348379254;6,309369157;
13/04/2023 12:28:20.000;2,921907095;16,48116928;6,34866828;6,309656407;
13/04/2023 12:28:30.000;2,921446357;16,48119855;6,348697546;6,309685493;
13/04/2023 12:28:40.000;2,920459055;16,48146194;6,348960943;6,309947271;
13/04/2023 12:28:50.000;2,919856543;16,48099954;6,348498536;6,309487705;
13/04/2023 12:29:00.000;2,919740091;16,48116343;6,348662427;6,309650589;
13/04/2023 12:29:10.000;2,919476808;16,48127464;6,348773639;6,309761118;
13/04/2023 12:29:20.000;2,919532502;16,48097027;6,348469269;6,309458619;
13/04/2023 12:29:30.000;2,918808469;16,48106977;6,348568775;6,309557513;
13/04/2023 12:29:40.000;2,91855531;16,48118684;6,34868584;6,309673858;
13/04/2023 12:29:50.000;2,916428749;16,48116928;6,34866828;6,309656407;
13/04/2023 12:30:00.000;2,917218619;16,4813039;6,348802905;6,309790204;
13/04/2023 12:30:10.000;2,916767989;16,48133681;6,348835812;6,309822909;
13/04/2023 12:30:20.000;2,91558824;16,4813917;6,348890704;6,309877464;
13/04/2023 12:30:30.000;2,914631268;16,48120219;6,348701186;6,30968911;
13/04/2023 12:30:40.000;2,914084423;16,48119269;6,348691693;6,309679676;
13/04/2023 12:30:50.000;2,915380644;16,48156145;6,349060448;6,310046165;
13/04/2023 12:31:00.000;2,915547733;16,48136829;6,348867291;6,309854194;
13/04/2023 12:31:10.000;2,914909752;16,48136608;6,348865078;6,309851996;
13/04/2023 12:31:20.000;2,914995829;16,48142682;6,348925823;6,309912367;
13/04/2023 12:31:30.000;2,914540127;16,48136608;6,348865078;6,309851996;
13/04/2023 12:31:40.000;2,913497068;16,4813917;6,348890704;6,309877464;
13/04/2023 12:31:50.000;2,911805874;16,48116121;6,348660213;6,309648389;
13/04/2023 12:32:00.000;2,911360286;16,48117292;6,348671919;6,309660023;
13/04/2023 12:32:10.000;2,909851349;16,48114001;6,348639014;6,30962732;
13/04/2023 12:32:20.000;2,910924823;16,4812256;6,348724599;6,309712379;
13/04/2023 12:32:30.000;2,911856509;16,48134488;6,348843878;6,309830925;
13/04/2023 12:32:40.000;2,911507127;16,48116928;6,34866828;6,309656407;
13/04/2023 12:32:50.000;2,910003256;16,48109097;6,348589973;6,309578581;
13/04/2023 12:33:00.000;2,910737472;16,48080052;6,348299525;6,309289917;
13/04/2023 12:33:10.000;2,910914696;16,48112609;6,348625093;6,309613485;
13/04/2023 12:33:20.000;2,910686837;16,48132732;6,348826318;6,309813473;
13/04/2023 12:33:30.000;2,910302007;16,48142682;6,348925823;6,309912367;
13/04/2023 12:33:40.000;2,910064019;16,4809622;6,3484612;6,309450599;
13/04/2023 12:33:50.000;2,910033638;16,48123952;6,348738519;6,309726214;
13/04/2023 12:34:00.000;2,910023511;16,48125487;6,348753865;6,309741466;
13/04/2023 12:34:10.000;2,910367833;16,48100903;6,348508027;6,309497138;
13/04/2023 12:34:20.000;2,910995712;16,48109097;6,348589973;6,309578581;
13/04/2023 12:34:30.000;2,913765429;16,48108148;6,348580481;6,309569147;
13/04/2023 12:34:40.000;2,915248997;16,48138949;6,348888492;6,309875265;
13/04/2023 12:34:50.000;2,916798368;16,48119855;6,348697546;6,309685493;
13/04/2023 12:35:00.000;2,916003432;16,48095635;6,348455347;6,309444782;
13/04/2023 12:35:10.000;2,915426214;16,48097027;6,348469269;6,309458619;
13/04/2023 12:35:20.000;2,918119875;16,48136608;6,348865078;6,309851996;
13/04/2023 12:35:30.000;2,918438857;16,48116707;6,348666066;6,309654206;
13/04/2023 12:35:40.000;2,917962915;16,48105585;6,348554853;6,309543677;
13/04/2023 12:35:50.000;2,917826208;16,48102659;6,348525586;6,30951459;
13/04/2023 12:36:00.000;2,917993294;16,48116707;6,348666066;6,309654206;
13/04/2023 12:36:10.000;2,918236328;16,48079831;6,348297308;6,309287714;
13/04/2023 12:36:20.000;2,918155317;16,48099732;6,34849632;6,309485503;
13/04/2023 12:36:30.000;2,918479362;16,48092344;6,348422443;6,30941208;
13/04/2023 12:36:40.000;2,91842873;16,4809622;6,3484612;6,309450599;
13/04/2023 12:36:50.000;2,918621132;16,48109097;6,348589973;6,309578581;
13/04/2023 12:37:00.000;2,918307213;16,48124316;6,348742159;6,309729831;
13/04/2023 12:37:10.000;2,91879328;16,48132511;6,348824105;6,309811274;
13/04/2023 12:37:20.000;2,919061628;16,48161998;6,349118981;6,310104338;
13/04/2023 12:37:30.000;2,92079322;16,48116121;6,348660213;6,309648389;
13/04/2023 12:37:40.000;2,921299528;16,48103829;6,348537293;6,309526225;
13/04/2023 12:37:50.000;2,920332477;16,48135437;6,348853372;6,309840361;
13/04/2023 12:38:00.000;2,92085904;16,48119048;6,348689479;6,309677475;
13/04/2023 12:38:10.000;2,92176533;16,48110268;6,348601679;6,309590215;
13/04/2023 12:38:20.000;2,921795708;16,48123367;6,348732666;6,309720397;
13/04/2023 12:38:30.000;2,921167888;16,48098561;6,348484613;6,309473869;
13/04/2023 12:38:40.000;2,921866591;16,48121975;6,348718746;6,309706562;
13/04/2023 12:38:50.000;2,922291886;16,48104051;6,348539508;6,309528426;
13/04/2023 12:39:00.000;2,922580478;16,48115536;6,348654359;6,309642571;
13/04/2023 12:39:10.000;2,923056401;16,48123731;6,348736306;6,309724014;
13/04/2023 12:39:20.000;2,923051338;16,48111439;6,348613386;6,30960185;
13/04/2023 12:39:30.000;2,92317285;16,48098561;6,348484613;6,309473869;
13/04/2023 12:39:40.000;2,923299424;16,48114001;6,348639014;6,30962732;
13/04/2023 12:39:50.000;2,923709525;16,48100539;6,348504389;6,309493522;
13/04/2023 12:40:00.000;2,923901918;16,48097391;6,348472907;6,309462234;
13/04/2023 12:40:10.000;2,924124688;16,48095856;6,348457563;6,309446984;
13/04/2023 12:40:20.000;2,924225947;16,4811166;6,348615601;6,309604051;
13/04/2023 12:40:30.000;2,924600604;16,4811378;6,348636799;6,309625119;
13/04/2023 12:40:40.000;2,924555038;16,48119855;6,348697546;6,309685493;
13/04/2023 12:40:50.000;2,924468968;16,48126657;6,348765572;6,309753101;
13/04/2023 12:41:00.000;2,924079121;16,48123145;6,348730452;6,309718197;
13/04/2023 12:41:10.000;2,92426645;16,48112609;6,348625093;6,309613485;
13/04/2023 12:41:20.000;2,925101833;16,48110268;6,348601679;6,309590215;
13/04/2023 12:41:30.000;2,925030952;16,48124901;6,348748012;6,309735649;
13/04/2023 12:41:40.000;2,925299286;16,48112024;6,348619239;6,309607667;
13/04/2023 12:41:50.000;2,925420795;16,48147365;6,34897265;6,309958906;
13/04/2023 12:42:00.000;2,925370166;16,48119633;6,348695332;6,309683293;
13/04/2023 12:42:10.000;2,925567619;16,48106756;6,34856656;6,309555311;
13/04/2023 12:42:20.000;2,926190352;16,48104636;6,348545362;6,309534243;
13/04/2023 12:42:30.000;2,926013152;16,48126293;6,348761932;6,309749483;
13/04/2023 12:42:40.000;2,925997963;16,48125708;6,348756079;6,309743666;
13/04/2023 12:42:50.000;2,925876454;16,4810288;6,348527802;6,309516792;
13/04/2023 12:43:00.000;2,925754946;16,48116707;6,348666066;6,309654206;
13/04/2023 12:43:10.000;2,925162588;16,4812044;6,3487034;6,30969131;
13/04/2023 12:43:20.000;2,924914505;16,48133317;6,348832171;6,309819291;
